course code,course title,credit,practical,lecture

CCS346,Exploratory Data Analysis,3,2,2

CCS360,Recommender Systems,3,2,2

CCS355,Neural Networks and Deep Learning,3,2,2

CCS369,Text and Speech Analysis,3,2,2

CCW331,Business Analytics,3,2,2

CCS349,Image and Video Analytics,3,2,2

CCS338,Computer Vision,3,2,2

CCS334,Big Data Analytics,3,2,2

CCS375,Web Technologies,3,2,2

CCS332,App Development,3,2,2

CCS336,Cloud Services Management,3,2,2

CCS370,UI and UX Design,3,2,2

CCS366,Software Testing and Automation,3,2,2

CCS374,Web Application Security,3,2,2

CCS342,DevOps,3,2,2

CCS358,Principles of Programming Languages,3,0,3

CCS335,Cloud Computing,3,2,2

CCS372,Virtualization,3,2,2

CCS336,Cloud Services Management,3,2,2

CCS341,Data Warehousing,3,2,2

CCS367,Storage Technologies,3,0,3

CCS365,Software Defined Networks,3,2,2

CCS368,Stream Processing,3,2,2

CCS362,Security and Privacy in Cloud,3,2,2

CCS344,Ethical Hacking,3,2,2

CCS343,Digital and Mobile Forensics,3,2,2

CCS363,Social Network Security,3,2,2

CCS351,Modern Cryptography,3,2,2

CB3591,Engineering Secure Software Systems,3,2,2

CCS339,Cryptocurrency and Blockchain Technologies,3,2,2

CCS354,Network Security,3,2,2

CCS362,Security and Privacy in Cloud,3,2,2

CCS333,Augmented Reality/Virtual Reality,3,2,2

CCS352,Multimedia and Animation,3,2,2

CCS371,Video Creation and Editing,3,2,2

CCS370,UI and UX Design,3,2,2

CCW332,Digital marketing,3,2,2

CCS373,Visual Effects,3,2,2

CCS347,Game Development,3,2,2

CCS353,Multimedia Data Compression and Storage,3,2,2

CCS333,Augmented Reality/Virtual Reality,3,2,2

CCS361,Robotic Process Automation,3,2,2

CCS355,Neural Networks and Deep Learning,3,2,2

CCS340,Cyber security,3,2,2

CCS359,Quantum Computing,3,2,2

CCS339,Cryptocurrency and Blockchain Technologies,3,2,2

CCS347,Game Development,3,2,2

CCS331,3D Printing and Design,3,2,2

CCS350,Knowledge Engineering,3,2,2

CCS364,Soft Computing,3,2,2

CCS355,Neural Networks and Deep Learning,3,2,2

CCS369,Text and Speech Analysis,3,2,2

CCS357,Optimization Techniques,3,2,2

CCS348,Game Theory,3,2,2

CCS337,Cognitive Science,3,2,2

CCS345,Ethics And AI,3,2,2

